id,Liver_GSH,Liver_GSSG,Liver_Total_GSH,Liver_GSH_GSSG_Ratio,Liver_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,sex,generation
DO-50,66.203,1.44,69.083,45.984,-195.32,1.968,0.736,0.182,4.05,F,30
DO-51,38.048,0.325,38.697,117.133,-200.451,2.011,0.782,0.121,6.444,F,30
DO-52,43.485,0.551,44.586,78.973,-196.942,1.628,0.647,0.267,2.423,F,30
DO-53,47.974,0.664,49.301,72.288,-197.074,0.953,0.717,0.107,6.71,F,30
DO-54,78.195,1.321,80.838,59.179,-200.958,1.172,0.628,0.113,5.572,F,30
DO-55,58.039,1.022,60.082,56.816,-196.396,1.551,0.621,0.104,5.993,F,30
DO-56,41.333,0.48,42.292,86.18,-197.435,1.017,0.731,0.12,6.075,F,30
DO-57,54.147,0.597,55.34,90.721,-201.762,0.986,0.694,0.35,1.984,F,30
DO-59,35.561,0.282,36.125,126.066,-200.531,3.601,1.058,0.412,2.569,F,30
DO-60,52.215,0.586,53.386,89.18,-201.042,4.405,1.057,0.721,1.467,F,30
DO-61,33.629,0.443,34.515,75.925,-192.952,3.914,0.882,0.355,2.488,F,30
DO-62,38.041,0.382,38.805,99.569,-198.262,2.932,0.647,0.378,1.713,F,30
DO-63,77.579,1.025,79.628,75.705,-204.167,3.225,1.007,0.391,2.576,F,30
DO-64,22.147,0.272,22.691,81.455,-188.275,3.062,0.891,0.324,2.75,F,30
DO-65,38.714,0.596,39.905,64.999,-192.756,1.864,0.854,0.466,1.831,F,30
DO-66,55.925,0.56,57.045,99.901,-203.494,2.842,0.723,0.687,1.053,F,30
DO-67,63.425,0.978,65.38,64.859,-199.373,3.917,1.289,0.349,3.697,F,30
DO-68,41.32,0.781,42.881,52.912,-190.863,2.693,0.967,0.305,3.172,F,30
DO-69,21.343,0.249,21.841,85.793,-188.476,1.839,0.873,0.73,1.196,F,30
DO-70,55.792,0.574,56.941,97.179,-203.091,2.45,0.75,0.296,2.529,F,30
DO-71,35.096,0.481,36.058,72.977,-192.994,3.322,0.808,0.405,1.993,F,30
DO-72,67.491,0.795,69.081,84.89,-203.833,1.171,0.746,0.513,1.454,F,30
DO-73,57.641,1.291,60.222,44.661,-193.062,1.401,1.031,0.348,2.964,F,30
DO-74,53.704,0.605,54.914,88.751,-201.355,2.89,1.216,0.249,4.877,F,30
DO-75,56.075,0.879,57.833,63.797,-197.492,2.856,1.064,0.21,5.067,F,30
DO-76,29.623,0.492,30.607,60.183,-188.116,2.223,0.883,0.279,3.16,F,30
DO-77,42.421,0.522,43.466,81.246,-196.991,2.414,0.836,0.169,4.962,F,30
DO-78,57.887,1.092,60.072,52.989,-195.422,3.703,0.962,0.25,3.852,F,30
DO-79,70.137,1.925,73.986,36.444,-192.967,2.946,0.818,0.26,3.143,F,30
DO-80,42.097,0.907,43.91,46.432,-189.355,3.485,0.988,0.204,4.842,F,30
DO-81,59.944,1.061,62.065,56.516,-196.759,1.677,0.971,0.269,3.603,F,30
DO-82,54.085,0.711,55.507,76.07,-199.375,2.892,0.445,0.429,1.036,F,30
DO-83,29.302,0.639,30.58,45.826,-184.3,2.212,0.43,0.093,4.633,F,30
DO-84,17.017,0.434,17.886,39.173,-174.872,2.089,0.859,0.13,6.632,F,30
DO-85,41.923,0.562,43.046,74.651,-195.692,1.626,0.767,0.21,3.653,F,30
DO-86,58.666,0.924,60.514,63.481,-198.034,3.012,0.707,0.168,4.198,F,30
DO-87,58.6,0.877,60.354,66.814,-198.708,1.817,0.879,0.105,8.351,F,30
DO-88,30.238,0.392,31.021,77.236,-191.751,2.26,0.459,0.142,3.223,F,30
DO-89,48.668,1.203,51.074,40.466,-189.456,0.901,1.51,0.146,10.334,F,30
